Serial,Mode,Base,URL,,,,,,,,Alfajores test,,,,,,,,Comment
,,,http://127.0.0.1:8000/get/getUserAccountInfo/status?userPublicKey=a0bda5d71291f391a71bf2d695b4ea620ac7b0e6,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getUserAccountInfo/status?userPublicKey=313bc86D3D6e86ba164B2B451cB0D9CfA7943e5c,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getUserAccountInfo/status?userPublicKey=a0bda5d71291f391a71bf2d695b4ea620ac7b0e6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17,Redirection,/get/getFee,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getFee?userPublicKey=dedfe7c341ffcb43c26bdb17d6a59c2317907f36&activityType=borrow&amount=40.0&currency=cEUR,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getFee?userPublicKey=7d8f3b14b6f511eb85290242ac130003&activityType=borrow&amount=40&currency=cEUR,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getFee?userPublicKey=7d8f3b14b6f511eb85290242ac130003&activityType=borrow&amount=40&currency=cEUR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
18,Redirection,/get/getLiquidationPrice,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getLiquidationPrice?userPublicKey=dedfe7c341ffcb43c26bdb17d6a59c2317907f36,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getLiquidationPrice?userPublicKey=7d8f3b14b6f511eb85290242ac130003,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getLiquidationPrice?userPublicKey=7d8f3b14b6f511eb85290242ac130003,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getLiquidationPrice?userPublicKey=7d8f3b14b6f511eb85290242ac130003,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
19,,/get/getMooTokenHolder,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getMooTokenHolder?userPublicKey=038f6fb6526ffb23cb4215a155d53eb0461bcb68,,,,,,,Obsolete,
,,,http://127.0.0.1:8000/get/getMooTokenHolder?userPublicKey=0208536b3DBdBc71641d18Bbd0C591947C6eA351,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getMooTokenHolder?userPublicKey=0208536b3DBdBc71641d18Bbd0C591947C6eA351,,,,,,,,,,,,,,,,
,,,https://mooapi-t.herokuapp.com/get/getMooTokenHolder?userPublicKey=0208536b3DBdBc71641d18Bbd0C591947C6eA351,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
20,,/get/getExchangeRates/nearestPastValue,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getExchangeRates/nearestPastValue?inAmount=10&inBlockNo=5000&inCurrency=Celo&outCurrency=cUSD,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getExchangeRates/nearestPastValue?inAmount=10&inBlockNo=5000&inCurrency=Celo&outCurrency=cUSD,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getExchangeRates/nearestPastValue?inAmount=10&inBlockNo=5000&inCurrency=Celo&outCurrency=cUSD,,,,,,,,,,,,,,,,
,,,https://mooapi-t.herokuapp.com/get/getExchangeRates/nearestPastValue?inAmount=10&inBlockNo=5000&inCurrency=Celo&outCurrency=cUSD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
21,Redirection,/get/getUserReserveData,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getUserReserveData?userPublicKey=dedfe7c341ffcb43c26bdb17d6a59c2317907f36&currency=cUSD,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getUserReserveData?userPublicKey=0208536b3DBdBc71641d18Bbd0C591947C6eA351&currency=cUSD,,,,,,,,,,,,,,,,
,,,http://127.0.0.1:8000/get/getUserReserveData?userPublicKey=8a045c8dcb7977425aa5a13887477d0dd4c2c28e&currency=cUSD,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getUserReserveData?userPublicKey=0208536b3DBdBc71641d18Bbd0C591947C6eA351&currency=cUSD,,,,,,,,,,,,,,,,
,,,https://mooapi-t.herokuapp.com/get/getUserReserveData?userPublicKey=0208536b3DBdBc71641d18Bbd0C591947C6eA351&currency=cUSD,,,,,,,,,,,,,,,,
,,,https://mooapi-t.herokuapp.com/get/getUserReserveData?userPublicKey=8a045c8dcb7977425aa5a13887477d0dd4c2c28e&currency=cUSD,,,,,,,,,,,,,,,,
